Strategy report
Symbol: AAPL
Work Time: 5/11/20 6:00 AM - 5/15/20 6:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$311.14;5/11/20 6:00 AM;$0.00;$2.18;-1.0;
2;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|308.75|309|308.5|308.96|308.75);Buy to Open;1.0;$311.14;5/11/20 6:00 AM;;$0.00;0.0;
3;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$308.75;5/11/20 6:14 AM;$0.00;$0.28;-1.0;
4;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|309|309.29|308.34|308.47|308.96);Buy to Open;1.0;$308.75;5/11/20 6:14 AM;;$0.00;0.0;
5;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$309.00;5/11/20 6:35 AM;$0.00;$1.19;-1.0;
6;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|308.47|308.47|307.81|307.81|308.47);Buy to Open;1.0;$309.00;5/11/20 6:35 AM;;$0.00;0.0;
7;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$308.47;5/11/20 6:48 AM;$0.00;$0.89;-1.0;
8;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.83|307.92|307.25|307.58|307.81);Buy to Open;1.0;$308.47;5/11/20 6:48 AM;;$0.00;0.0;
9;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.83;5/11/20 7:03 AM;$0.00;$0.27;-1.0;
10;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.6601|307.8|307.2|307.562|307.58);Buy to Open;1.0;$307.83;5/11/20 7:03 AM;;$0.00;0.0;
11;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.66;5/11/20 7:19 AM;$0.00;$0.16;-1.0;
12;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.684|307.9498|307.32|307.5|307.562);Buy to Open;1.0;$307.66;5/11/20 7:19 AM;;$0.00;0.0;
13;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.68;5/11/20 7:40 AM;$0.00;$0.60;-1.0;
14;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.5399|307.5399|307.01|307.08|307.5);Buy to Open;1.0;$307.68;5/11/20 7:40 AM;;$0.00;0.0;
15;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.54;5/11/20 7:49 AM;$0.00;$0.23;-1.0;
16;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.06|307.5|307.02|307.31|307.08);Buy to Open;1.0;$307.54;5/11/20 7:49 AM;;$0.00;0.0;
17;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.06;5/11/20 8:01 AM;$0.00;($0.44);-1.0;
18;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.31|307.88|307.31|307.5|307.31);Buy to Open;1.0;$307.06;5/11/20 8:01 AM;;$0.00;0.0;
19;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.31;5/11/20 8:12 AM;$0.00;($0.99);-1.0;
20;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.5|308.4|307.4|308.3|307.5);Buy to Open;1.0;$307.31;5/11/20 8:12 AM;;$0.00;0.0;
21;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.50;5/11/20 8:27 AM;$0.00;($0.63);-1.0;
22;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|308.29|308.29|308|308.13|308.3);Buy to Open;1.0;$307.50;5/11/20 8:27 AM;;$0.00;0.0;
23;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$308.29;5/11/20 8:30 AM;$0.00;$0.19;-1.0;
24;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|308.12|308.23|308|308.1|308.13);Buy to Open;1.0;$308.29;5/11/20 8:30 AM;;$0.00;0.0;
25;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$308.12;5/11/20 8:30 AM;$0.00;$0.12;-1.0;
26;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|308.03|308.13|307.89|308|308.1);Buy to Open;1.0;$308.12;5/11/20 8:30 AM;;$0.00;0.0;
27;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$308.03;5/11/20 8:30 AM;$0.00;$0.24;-1.0;
28;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|308.03|308.03|307.79|307.79|308);Buy to Open;1.0;$308.03;5/11/20 8:30 AM;;$0.00;0.0;
29;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$308.03;5/11/20 8:30 AM;$0.00;$0.68;-1.0;
30;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.79|307.79|307.28|307.35|307.79);Buy to Open;1.0;$308.03;5/11/20 8:30 AM;;$0.00;0.0;
31;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.79;5/11/20 8:30 AM;$0.00;$0.19;-1.0;
32;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.35|307.6|307.24|307.6|307.35);Buy to Open;1.0;$307.79;5/11/20 8:30 AM;;$0.00;0.0;
33;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.35;5/11/20 8:30 AM;$0.00;($0.20);-1.0;
34;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.59|307.65|307.33|307.55|307.6);Buy to Open;1.0;$307.35;5/11/20 8:30 AM;;$0.00;0.0;
35;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.59;5/11/20 8:30 AM;$0.00;$0.00;-1.0;
36;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.57|307.73|307.555|307.59|307.55);Buy to Open;1.0;$307.59;5/11/20 8:30 AM;;$0.00;0.0;
37;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.57;5/11/20 8:30 AM;$0.00;($0.16);-1.0;
38;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.59|307.83|307.59|307.73|307.59);Buy to Open;1.0;$307.57;5/11/20 8:30 AM;;$0.00;0.0;
39;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.59;5/11/20 8:30 AM;$0.00;($0.11);-1.0;
40;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.73|307.87|307.69|307.7|307.73);Buy to Open;1.0;$307.59;5/11/20 8:30 AM;;$0.00;0.0;
41;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.73;5/11/20 8:31 AM;$0.00;$0.13;-1.0;
42;_NXL_EveryTickSOHLCP(SOHLCP|AAPL|307.7|307.74|307.52|307.6|307.7);Buy to Open;1.0;$307.73;5/11/20 8:31 AM;;$0.00;0.0;
43;_NXL_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$307.70;5/11/20 8:31 AM;$0.00;$0.20;-1.0;
