Strategy report,,,,,,,,,,
Symbol /NQXCME,,,,,,,,,,
"Work Time 1/30/24, 1232 AM - 2/6/24, 711 AM",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Id,Strategy,Side,Quantity,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,717.25","1/30/24, 1232 AM",$0.00,$335.00,-20.0,
2,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,704|17,712.5|17,698.5|17,700.5|17,704|17,708.6968)",Buy to Open,1,20.0,"$17,717.25","1/30/24, 1232 AM",,$0.00,0.0,
3,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,704.00","1/30/24, 101 AM",$0.00,$350.00,-20.0,
4,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,699.5|17,700.5|17,684.5|17,686.5|17,700.5|17,706.8993)",Buy to Open,1,20.0,"$17,704.00","1/30/24, 101 AM",,$0.00,0.0,
5,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,699.50","1/30/24, 111 AM",$0.00,$270.00,-20.0,
6,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,686.5|17,688.25|17,676|17,686|17,686.5|17,692.493)",Buy to Open,1,20.0,"$17,699.50","1/30/24, 111 AM",,$0.00,0.0,
7,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,686.50","1/30/24, 122 AM",$0.00,$25.00,-20.0,
8,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,686|17,688.25|17,679|17,685.25|17,686|17,682.1286)",Buy to Open,1,20.0,"$17,686.50","1/30/24, 122 AM",,$0.00,0.0,
9,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,686.00","1/30/24, 141 AM",$0.00,($135.00),-20.0,
10,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,685.75|17,693.5|17,682|17,692.75|17,685.25|17,683.6774)",Buy to Open,1,20.0,"$17,686.00","1/30/24, 141 AM",,$0.00,0.0,
11,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,685.75","1/30/24, 200 AM",$0.00,$70.00,-20.0,
12,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,692.75|17,692.75|17,675.5|17,682.25|17,692.75|17,688.1869)",Buy to Open,1,20.0,"$17,685.75","1/30/24, 200 AM",,$0.00,0.0,
13,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,692.75","1/30/24, 208 AM",$0.00,$255.00,-20.0,
14,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,682.25|17,682.75|17,665.5|17,680|17,682.25|17,682.1765)",Buy to Open,1,20.0,"$17,692.75","1/30/24, 208 AM",,$0.00,0.0,
15,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,682.25","1/30/24, 216 AM",$0.00,($270.00),-20.0,
16,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,680|17,698|17,677.5|17,695.75|17,680|17,674.1716)",Buy to Open,1,20.0,"$17,682.25","1/30/24, 216 AM",,$0.00,0.0,
17,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,680.00","1/30/24, 227 AM",$0.00,($660.00),-20.0,
18,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,695.75|17,717|17,693.25|17,713|17,695.75|17,688.497)",Buy to Open,1,20.0,"$17,680.00","1/30/24, 227 AM",,$0.00,0.0,
19,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,695.75","1/30/24, 232 AM",$0.00,($265.00),-20.0,
20,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,713|17,719|17,706.75|17,709|17,713|17,705.5903)",Buy to Open,1,20.0,"$17,695.75","1/30/24, 232 AM",,$0.00,0.0,
21,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,713.00","1/30/24, 241 AM",$0.00,$105.00,-20.0,
22,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,709.25|17,720.75|17,707|17,707.75|17,709|17,712.4777)",Buy to Open,1,20.0,"$17,713.00","1/30/24, 241 AM",,$0.00,0.0,
23,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,709.25","1/30/24, 249 AM",$0.00,($215.00),-20.0,
24,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,708|17,720.5|17,706.5|17,720|17,707.75|17,713.6463)",Buy to Open,1,20.0,"$17,709.25","1/30/24, 249 AM",,$0.00,0.0,
25,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,708.00","1/30/24, 303 AM",$0.00,($20.00),-20.0,
26,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,719.75|17,721.25|17,708.25|17,709|17,720|17,714.7181)",Buy to Open,1,20.0,"$17,708.00","1/30/24, 303 AM",,$0.00,0.0,
27,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,719.75","1/30/24, 312 AM",$0.00,$285.00,-20.0,
28,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,708.75|17,714.75|17,700|17,705.5|17,709|17,716.1209)",Buy to Open,1,20.0,"$17,719.75","1/30/24, 312 AM",,$0.00,0.0,
29,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,708.75","1/30/24, 322 AM",$0.00,$295.00,-20.0,
30,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,705.25|17,707.5|17,688.5|17,694|17,705.5|17,707.3556)",Buy to Open,1,20.0,"$17,708.75","1/30/24, 322 AM",,$0.00,0.0,
31,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,705.25","1/30/24, 330 AM",$0.00,$310.00,-20.0,
32,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,694.5|17,697|17,684.5|17,689.75|17,694|17,696.6475)",Buy to Open,1,20.0,"$17,705.25","1/30/24, 330 AM",,$0.00,0.0,
33,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,694.50","1/30/24, 343 AM",$0.00,$45.00,-20.0,
34,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,689.75|17,697.75|17,686.25|17,692.25|17,689.75|17,691.1111)",Buy to Open,1,20.0,"$17,694.50","1/30/24, 343 AM",,$0.00,0.0,
35,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,689.75","1/30/24, 359 AM",$0.00,($375.00),-20.0,
36,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,692.25|17,712.25|17,688.5|17,708.5|17,692.25|17,692.114)",Buy to Open,1,20.0,"$17,689.75","1/30/24, 359 AM",,$0.00,0.0,
37,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,692.25","1/30/24, 416 AM",$0.00,($290.00),-20.0,
38,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,708.75|17,712.5|17,701.5|17,706.75|17,708.5|17,699.0681)",Buy to Open,1,20.0,"$17,692.25","1/30/24, 416 AM",,$0.00,0.0,
39,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,708.75","1/30/24, 432 AM",$0.00,$245.00,-20.0,
40,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,706.75|17,712.25|17,696.5|17,696.5|17,706.75|17,707.7725)",Buy to Open,1,20.0,"$17,708.75","1/30/24, 432 AM",,$0.00,0.0,
41,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,706.75","1/30/24, 456 AM",$0.00,$340.00,-20.0,
42,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,696.5|17,699.25|17,683.25|17,689.75|17,696.5|17,704.2155)",Buy to Open,1,20.0,"$17,706.75","1/30/24, 456 AM",,$0.00,0.0,
43,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,696.50","1/30/24, 510 AM",$0.00,($80.00),-20.0,
44,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,689.75|17,700.5|17,686.25|17,700.5|17,689.75|17,691.3174)",Buy to Open,1,20.0,"$17,696.50","1/30/24, 510 AM",,$0.00,0.0,
45,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,689.75","1/30/24, 530 AM",$0.00,($160.00),-20.0,
46,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,700.5|17,706|17,690.75|17,697.75|17,700.5|17,691.4935)",Buy to Open,1,20.0,"$17,689.75","1/30/24, 530 AM",,$0.00,0.0,
47,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,700.50","1/30/24, 545 AM",$0.00,$90.00,-20.0,
48,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,697.5|17,703.25|17,694.75|17,696|17,697.75|17,697.5274)",Buy to Open,1,20.0,"$17,700.50","1/30/24, 545 AM",,$0.00,0.0,
49,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,697.50","1/30/24, 607 AM",$0.00,$0.00,-20.0,
50,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,696|17,698.5|17,686|17,697.5|17,696|17,699.1198)",Buy to Open,1,20.0,"$17,697.50","1/30/24, 607 AM",,$0.00,0.0,
51,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,696.00","1/30/24, 619 AM",$0.00,$160.00,-20.0,
52,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,697.5|17,699.75|17,687.5|17,688|17,697.5|17,691.8771)",Buy to Open,1,20.0,"$17,696.00","1/30/24, 619 AM",,$0.00,0.0,
53,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,697.50","1/30/24, 633 AM",$0.00,$380.00,-20.0,
54,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,687.5|17,692.5|17,677.5|17,678.5|17,688|17,693.7179)",Buy to Open,1,20.0,"$17,697.50","1/30/24, 633 AM",,$0.00,0.0,
55,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,687.50","1/30/24, 643 AM",$0.00,$90.00,-20.0,
56,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,678|17,688|17,677.75|17,683|17,678.5|17,683.5402)",Buy to Open,1,20.0,"$17,687.50","1/30/24, 643 AM",,$0.00,0.0,
57,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,678.00","1/30/24, 658 AM",$0.00,$95.00,-20.0,
58,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,683|17,684.5|17,670.5|17,673.25|17,683|17,683.681)",Buy to Open,1,20.0,"$17,678.00","1/30/24, 658 AM",,$0.00,0.0,
59,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,683.00","1/30/24, 705 AM",$0.00,$415.00,-20.0,
60,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,673.25|17,674.5|17,661.25|17,662.25|17,673.25|17,676.4627)",Buy to Open,1,20.0,"$17,683.00","1/30/24, 705 AM",,$0.00,0.0,
61,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,673.25","1/30/24, 710 AM",$0.00,$270.00,-20.0,
62,"_NXL_EveryTickSOHLCP(SOHLCP|/NQXCME|17,662.75|17,667.25|17,657.5|17,659.75|17,662.25|17,669.0392)",Buy to Open,1,20.0,"$17,673.25","1/30/24, 710 AM",,$0.00,0.0,
63,_NXL_EveryTickSOHLCP(SellClose),Sell to Close,-1,-20.0,"$17,662.75","1/30/24, 718 AM",$0.00,$85.00,-20.0,
